Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[2][100/1856]: lr: 0.000307, aux_loss_cls: 0.091946, aux_loss_reg: 0.511240, rpn_loc_loss: 1.102336, rpn_cls_loss: 0.546894, rpn_dir_loss: 0.137476, loss_cls: 0.230021, loss: 2.619913
epoch[2][120/1856]: lr: 0.000307, aux_loss_cls: 0.085697, aux_loss_reg: 0.459160, rpn_loc_loss: 1.134854, rpn_cls_loss: 0.533114, rpn_dir_loss: 0.140499, loss_cls: 0.202009, loss: 2.555332
epoch[2][140/1856]: lr: 0.000308, aux_loss_cls: 0.098913, aux_loss_reg: 0.522725, rpn_loc_loss: 1.098174, rpn_cls_loss: 0.567506, rpn_dir_loss: 0.139330, loss_cls: 0.216324, loss: 2.642972
epoch[2][160/1856]: lr: 0.000308, aux_loss_cls: 0.097214, aux_loss_reg: 0.482959, rpn_loc_loss: 1.176196, rpn_cls_loss: 0.550288, rpn_dir_loss: 0.137203, loss_cls: 0.209552, loss: 2.653411
epoch[2][180/1856]: lr: 0.000308, aux_loss_cls: 0.082352, aux_loss_reg: 0.486741, rpn_loc_loss: 1.084359, rpn_cls_loss: 0.536363, rpn_dir_loss: 0.138442, loss_cls: 0.195915, loss: 2.524172
epoch[2][200/1856]: lr: 0.000308, aux_loss_cls: 0.107574, aux_loss_reg: 0.566770, rpn_loc_loss: 1.170875, rpn_cls_loss: 0.567576, rpn_dir_loss: 0.138221, loss_cls: 0.183518, loss: 2.734534
epoch[2][220/1856]: lr: 0.000308, aux_loss_cls: 0.106990, aux_loss_reg: 0.506052, rpn_loc_loss: 1.074531, rpn_cls_loss: 0.549394, rpn_dir_loss: 0.137963, loss_cls: 0.171915, loss: 2.546844
epoch[2][240/1856]: lr: 0.000308, aux_loss_cls: 0.097452, aux_loss_reg: 0.533050, rpn_loc_loss: 1.185118, rpn_cls_loss: 0.558945, rpn_dir_loss: 0.138468, loss_cls: 0.155295, loss: 2.668328
epoch[2][260/1856]: lr: 0.000308, aux_loss_cls: 0.085493, aux_loss_reg: 0.478042, rpn_loc_loss: 1.056664, rpn_cls_loss: 0.535235, rpn_dir_loss: 0.137285, loss_cls: 0.175705, loss: 2.468424
epoch[2][280/1856]: lr: 0.000309, aux_loss_cls: 0.099789, aux_loss_reg: 0.487846, rpn_loc_loss: 1.041864, rpn_cls_loss: 0.528100, rpn_dir_loss: 0.136470, loss_cls: 0.183999, loss: 2.478068
epoch[2][300/1856]: lr: 0.000309, aux_loss_cls: 0.089029, aux_loss_reg: 0.524122, rpn_loc_loss: 1.067089, rpn_cls_loss: 0.523009, rpn_dir_loss: 0.136496, loss_cls: 0.181348, loss: 2.521091
